id,Label,total_relevance,pageviews
398,Pavlo Skoropadskyi,40,3900
399,Moldavian Autonomous Soviet Socialist Republic,31,4656
400,ChÅopomania,30,209
401,Maidan Nezalezhnosti,27,6490
402,Ukrainians of Romania,26,789
403,OST-Arbeiter,25,508
404,Ukrposhta,24,998
405,Ukrainian Encyclopedia (publisher),23,65
406,Hennadiy Udovenko,23,417
407,1990 Ukrainian parliamentary election,23,243
408,Russian Orthodox Church,161,53671
409,Arseny Pavlov,43,2175
410,Khmelnytsky Uprising,42,10432
411,Peace of Riga,33,4736
412,Taras Kuzio,33,1157
413,University of Kyiv,28,3988
414,2019 Ukrainian presidential election,28,28796
415,Andrey Sheptytsky,28,1257
416,Right-bank Ukraine,27,3127
418,Deep and Comprehensive Free Trade Area,25,4827
419,Constitution of the Ukrainian SSR,25,174
420,Ukrainian Galician Army,24,1707
421,Ukrainian Baroque,24,1195
422,Anatoliy Kinakh,23,698
423,Ukrainian Second League,22,1703
424,Nord Stream,113,124178
425,The Ruin (Ukrainian history),50,2221
426,Natural gas in Russia,49,3329
428,Gareth Jones (journalist),34,30219
429,Chernobyl,32,40843
430,Dnieper River,31,38200
431,Luhansk,30,20467
432,Zaporizhia Oblast,28,807
433,Zaporizhzhia Oblast,28,5230
434,BelarusâUkraine border,28,2959
435,Anna Muzychuk,26,4818
436,Lazar Kaganovich,24,18163
437,Ivan Drach,22,424
438,The Holocaust in Ukraine,22,9500
439,Yaroslav Stetsko,21,2820
440,Eurasian Economic Union,144,33268
441,Russian Civil War,112,89807
442,Stalin,110,437628
443,Political abuse of psychiatry in the Soviet Union,101,5486
444,Crimean Tatars,72,39323
445,OSCE,47,38222
446,Yat,47,4517
447,Mike Pompeo,37,101165
448,Kremenchuk,37,3184
449,Dnipropetrovsk National University,32,53
450,Izium,31,783
451,Occupation of Poland (1939â1945),28,12716
452,Territorial defence battalions (Ukraine),27,2096
453,Metropolitan of Kyiv and All Ukraine,24,397
454,General Government,23,16454
455,Lviv Academy of Commerce,23,69
456,Borys Tarasyuk,22,386
457,Andriy Atanasovych Melnyk,21,1847
458,Roman Catholicism in Ukraine,21,184
459,LwÃ³w Eaglets,20,872
460,Lychakiv Cemetery,20,968
461,Ukraine's health system,20,24
462,Solomiya Krushelnytska,20,916
463,Democratic Bloc (Ukraine),20,369
464,Russification,277,10474
465,Belarus,120,302197
467,Kazakhstan,94,1112964
468,Kirill of Moscow,76,10680
469,JÃ³zef PiÅsudski,73,20858
470,Nikolai Gogol,60,30655
471,Mejlis of the Crimean Tatar People,47,2469
472,Eastern Partnership,41,5018
473,Druzhba pipeline,41,4280
474,Soviet invasion of Poland,40,20063
475,Igor Plotnitsky,32,3842
476,Second Polish Republic,30,35091
477,Chernobyl Nuclear Power Plant,28,50651
478,Antonov,26,21045
479,Kyiv Oblast,24,7121
480,2015 Ukrainian local elections,23,1186
481,Association Trio,22,911
482,Oleg Blokhin,21,7662
483,Lviv oblast,21,7598
484,Economic Development (parliamentary faction),19,847
485,Lubomyr Husar,19,1039
486,Supreme Court of Ukraine,19,1043
487,Roman Bezsmertny,19,17
488,Ukrainian Helsinki Group,19,516
489,Ulas Samchuk,19,207
490,Alexei Navalny,178,95015
491,Byelorussian SSR,116,25730
492,Belarusian Soviet Socialist Republic,116,190
493,Donald Trump,55,14089045
494,Novorossiya,54,18806
495,Russian imperialism,50,13917
496,Old East Slavic language,47,8992
497,General Secretariat of Ukraine,29,496
498,Ivan Kotlyarevsky,28,177
499,Grigory Petrovsky,25,2003
500,Horlivka,23,3628
501,Ukrinform,21,2502
502,Nikolai Podgorny,20,4076
503,Southern Bug,20,2756
504,Ukrainian Orthodox Church of the USA,20,865
505,Ge with upturn,20,246
506,Vinnytsia Oblast,19,3208
507,National Police of Ukraine,19,3202
508,Hromada (political party),18,1038
509,Honcharuk Government,18,1250
510,All-Ukrainian Central Executive Committee,18,162
511,Ihor Yukhnovsky,18,72
512,Ministry of Foreign Affairs (Ukraine),18,1935
513,History of Russia,364,44125
514,Russian (language),236,192
515,Russian language,236,135206
516,Russian Airborne Troops,66,6588
517,Lviv National Art Gallery,27,630
518,Vopli Vidoplyasova,23,157
519,SMERSH,22,17386
520,The Holocaust in Poland,21,11752
521,First Yatsenyuk Government,21,1084
522,Rivne,20,5260
523,Hetman,20,5420
524,Kobza,20,1205
525,Volodymyr Shcherbytsky,20,1603
526,Our Land (Ukraine),19,1583
527,Presidium of the Supreme Soviet of the Ukrainian Soviet Socialist Republic,17,210
528,1998 Ukrainian parliamentary election,17,1656
529,"Rise up, Ukraine!",17,303
530,National Security and Defense Council of Ukraine,17,2059
531,Yuriy Pavlenko,17,64
532,List of Communist monuments in Ukraine,17,78
