id,Label,total_relevance,pageviews
270,Romanians in Ukraine,53,636
271,Greeks in Ukraine,44,1806
273,Ukrainian Cossacks,84,7962
274,Budjak,66,2874
275,Chernobyl Exclusion Zone,41,23137
276,Coal in Ukraine,40,588
282,Soviet,152,433483
283,Sergey Lavrov,99,28289
284,1954 transfer of Crimea,75,4023
285,Pierogi,45,44099
286,Ivan Dorn,43,3542
287,Mykola Skrypnyk,42,813
293,Bessarabia,84,18203
294,Eastern Front (World War II),66,68117
295,Lisbon Protocol,50,597
302,Russophobes,475,117
303,Crimean bridge,86,30
304,Zaporizhzhia,53,115
305,Soviet famine of 1946â1947,52,3397
306,John Mearsheimer,48,8759
316,Pereyaslav Council,65,1608
317,Luhansk Oblast,54,4145
318,Soviet partisans,45,6593
332,Moldova,89,123106
333,Soviet occupation of Bessarabia and Northern Bukovina,53,5044
334,All-Ukrainian Congress of Soviets,41,252
346,Foreign relations of Russia,470,9846
361,Sport in Russia,202,6677
362,Boris Nemtsov,106,10131
363,Battle of Konotop,62,501
364,Neo-Nazis,58,939
365,Anti-Semitism,43,5121
366,Antisemitism,43,175736
380,RussiaâEuropean Union relations,362,6300
381,Russian Jewish,169,1647
398,Pavlo Skoropadskyi,40,2646
408,Russian Orthodox Church,161,42053
409,Arseny Pavlov,43,545
410,Khmelnytsky Uprising,42,6520
424,Nord Stream,113,12914
425,The Ruin (Ukrainian history),50,981
426,Natural gas in Russia,49,1457
440,Eurasian Economic Union,144,32929
441,Russian Civil War,112,67031
442,Stalin,110,580354
443,Political abuse of psychiatry in the Soviet Union,101,6300
444,Crimean Tatars,72,16877
445,OSCE,47,18890
446,Yat,47,2623
464,Russification,277,7924
465,Belarus,120,174709
467,Kazakhstan,94,220284
468,Kirill of Moscow,76,7233
469,JÃ³zef PiÅsudski,73,15834
470,Nikolai Gogol,60,26496
471,Mejlis of the Crimean Tatar People,47,1597
472,Eastern Partnership,41,4379
473,Druzhba pipeline,41,2501
474,Soviet invasion of Poland,40,16100
490,Alexei Navalny,178,14466
491,Byelorussian SSR,116,13741
492,Belarusian Soviet Socialist Republic,116,158
493,Donald Trump,55,1413128
494,Novorossiya,54,7203
495,Russian imperialism,50,4024
496,Old East Slavic language,47,5066
513,History of Russia,364,35979
514,Russian (language),236,179
515,Russian language,236,107777
516,Russian Airborne Troops,66,14920
534,Nikolay Kostomarov,56,495
535,Fancy Bear,55,8965
536,2014 Winter Paralympics,49,1871
537,Battle of Berlin,45,65188
563,Russian federation,390,661738
564,RussiaâUnited Kingdom relations,230,13936
565,Russian speakers,208,89
566,Federal Security Service,85,45093
567,Operation Bagration,61,21260
568,Sea of Azov,55,11976
569,Russo-Polish War (1654â1667),44,3311
570,Deportation of the Crimean Tatars,43,4169
591,RussiaâTurkey relations,114,6208
592,Aleksandr Solzhenitsyn,105,51480
593,Treaty of Brest-Litovsk,77,32331
594,Polish Jews,60,23673
595,Eastern Orthodox Culture,54,144873
621,"History of Germans in Russia, Ukraine and the Soviet Union",182,5017
622,Mikhail Gorbachev,100,203425
623,Doukhobors,69,6258
624,Roman Abramovich,68,89222
625,Lithuania,64,181670
626,Tupolev Tu-160,62,40317
668,2016 United States election interference by Russia,451,1378
669,Human rights in Russia,229,4974
670,Media freedom in Russia,170,5200
671,Vladislav Surkov,80,11113
672,Viktor Chernomyrdin,53,3857
673,Pro-Russian,43,5147
709,Russia under Vladimir Putin,394,8427
710,Sino-Russian relations,232,9396
711,Putinisms,62,5877
712,Disinformation,57,9948
713,Soviet Armed Forces,41,13060
714,History of the Soviet Union (1927â53),40,3229
762,GRU,97,8106
763,Transnistria War,51,6266
764,Danubian Sich,49,654
828,2008 South Ossetia War,393,38581
829,Military history of Imperial Russia,322,229
830,Russian national football team,187,547
831,Russian Soviet Republic,143,65388
832,Boris Berezovsky (businessman),118,21202
833,Russian Ground Forces,110,23963
834,Ramzan Kadyrov,101,38413
835,Sputnik (news agency),71,15681
836,Ilya Repin,70,12834
837,New Cold War,64,78
838,Church Slavonic language,52,8407
839,Don Cossacks,47,7051
840,Vodka,43,88516
892,Lenin,184,244238
893,PolishâRussian War of 1792,80,1954
894,MarxismâLeninism,77,43071
895,Russian ruble,76,33088
896,Leon Trotsky,69,131066
897,Katyn massacre,68,64709
898,"Treaty of Rapallo, 1922",63,835
899,Joseph Conrad,62,42463
900,Korenizatsiya,61,2768
901,Wilno,55,47747
902,Persecution of Christians in the Soviet Union,52,6602
903,Victory Day (Eastern Front),41,16943
980,History of the Russo-Turkish wars,125,8769
981,Paul von Hindenburg,110,68868
983,Georgia (country),93,238716
984,Russia and weapons of mass destruction,79,28441
985,Alexander Lukashenko,67,26237
986,Aleksandr Lukashenko,67,124
987,Deluge (history),65,8821
988,Slavophilia,54,2041
989,Koryo-saram,48,9092
990,Aeroflot,45,44541
1074,Boris Yeltsin,118,98224
1076,Russian cuisine,90,26012
1078,Demographics of Russia,87,46562
1079,Soviet coup attempt of 1991,72,31607
1080,2018 FIFA World Cup,71,876753
1081,Soviet Central Asia,63,2999
1082,Slavic mythology,62,28526
1083,Anna Politkovskaya,52,15071
1084,"Minsk, Belarus",49,38589
1085,Lesser Poland,42,5067
1086,Rus' people,40,15111
1183,World War I,153,752377
1184,Great War,153,1412
1185,RussiaâSerbia relations,149,5014
1186,Tsardom of Moscow,134,25288
1187,Nicholas I of Russia,133,36137
1188,Visa policy of Russia,123,19963
1189,Great Northern War,108,27085
1190,Russian literature,108,11802
1191,2011â2013 Russian protests,107,2488
1192,Russian financial crisis (2014â2016),106,1933
1193,BelarusâRussia relations,77,2231
1194,Anarchism in Russia,64,2421
1195,Intermediate-Range Nuclear Forces Treaty,61,16929
1196,United Aircraft Corporation,58,12930
1197,Belarusian language,56,20320
1198,Communist Party of the Russian Federation,54,21952
1200,Kyrgyzstan,53,117241
1201,FC Zenit Saint Petersburg,50,30507
1202,Russian passport,49,9320
1203,Russian Far East,48,19415
1204,Russian oligarch,47,67045
1205,Europe,45,362296
1206,RIA Novosti,42,6503
1323,Catherine the Great,198,120276
1324,Russians,163,30001
1325,Great Russians,163,56
1326,Dmitry Medvedev,143,87714
1327,Leningrad,132,139687
1328,Russian Orthodox Church Outside Russia,107,4264
1329,Partitions of Poland,103,21369
