id,Label,total_relevance,pageviews
158,2017 Petya cyberattack,71,1473
159,National Academy of Sciences of Ukraine,56,1204
160,2008â09 Ukrainian financial crisis,56,946
161,Dnipropetrovsk Oblast,65,4375
162,Serhiy Tihipko,64,1042
163,Holodomor genocide question,57,6020
164,Ukrainian government,53,7153
165,Polonization,88,3335
166,Opposition Platform â For Life,69,6250
167,Subdivisions of Ukraine,61,4673
168,Ukrainophiles,60,521
169,Judicial system of Ukraine,54,409
170,Socialist Party of Ukraine,53,1071
171,Treaty of Brest-Litovsk (UkraineâCentral Powers),66,924
172,Igor Girkin,135,1494
173,Ternopil,63,4584
174,Human rights in Ukraine,55,1112
175,Volodymyr Kubiyovych,53,319
176,Reichskommissariat Ukraine,53,5763
177,Andriy Shevchenko,50,48784
178,Enlargement of NATO,113,11469
179,Autonomous Republic of Crimea,91,9296
180,Austrian Poland,73,12085
181,Lviv pogroms,51,2569
182,International sanctions during the Russo-Ukrainian War,284,12511
183,2 May 2014 Odessa clashes,104,1673
184,Kuchma,61,6992
185,People's Movement of Ukraine,54,1330
186,Football Federation of Ukraine,50,857
187,Ukrainian Association of Football,50,1511
188,Bloc Yulia Tymoshenko,50,1400
189,Solidarity (Ukraine),48,7302
190,Borys Kolesnykov,48,42
191,2010 UkrainianâRussian Naval Base for Gas treaty,79,176
192,Education in Ukraine,56,3286
193,"Ukrainian Village, Chicago",50,2266
194,Mariupol,100,5842
195,Bohdan Khmelnytskyi,84,5762
196,Filaret (Denysenko),64,1587
197,Ukrselena,57,2040
198,Leonid Kravchuk,54,4538
199,Ukrainian Sich Riflemen,52,617
200,History of Poland,157,17680
202,National Guard of Ukraine,63,3281
203,Romanization of Ukrainian,54,2770
204,Ukrainian Democratic Alliance for Reform,46,1717
205,Chernobyl disaster,61,937847
206,Ukrainian architecture,56,937
207,2015 Ukrainian presidential election,67,4525
208,Polish population transfers (1944?1946),61,2277
209,Polish population transfers (1944â1946),61,2277
210,Mykola Azarov,52,3552
213,Ukrainian State,50,3996
214,Ivan Krypiakevych,45,96
215,Transnistria,118,67847
216,Commonwealth of Independent States,84,61752
217,Sloboda Ukraine,67,2149
218,2004 Ukrainian presidential election,65,2467
219,Eastern Ukraine,60,2470
220,Epiphanius I of Ukraine,48,1216
221,Ukrainian folk music,44,992
222,First Azarov Government,42,313
223,Higher education in Ukraine,43,959
224,RT (TV network),203,376879
225,Kuban Cossacks,109,4186
226,Novorossiya (confederation),76,7904
227,Ruthenians,57,7984
228,Kolomyia,41,2135
229,RussiaâNATO relations,300,4600
230,Little Russia,99,3019
231,Ivan Mazepa,64,3160
232,Oleh Tsarov,55,148
233,Opposition Bloc,45,1830
234,List of Ukrainian rulers,44,2115
235,Executed Renaissance,42,1231
239,Ems Ukaz,68,528
241,George Shevelov,48,230
242,Central Rada,44,280
243,Boryspil International Airport,40,14205
249,Army of the South-East,99,246
250,Former Soviet Republics,93,26028
251,Ukraine International Airlines,41,14144
255,Barszcz,85,43154
256,Southern Ukraine,48,1051
260,Zhytomyr,46,4942
267,Sevastopol,98,28178
268,Kresy,57,6169
269,Ruthenia,53,9352
270,Romanians in Ukraine,53,721
271,Greeks in Ukraine,44,1332
273,Ukrainian Cossacks,84,8237
274,Budjak,66,2553
275,Chernobyl Exclusion Zone,41,48299
276,Coal in Ukraine,40,617
282,Soviet,152,424066
283,Sergey Lavrov,99,11521
284,1954 transfer of Crimea,75,3579
285,Pierogi,45,45809
286,Ivan Dorn,43,1964
287,Mykola Skrypnyk,42,660
293,Bessarabia,84,18109
294,Eastern Front (World War II),66,53786
295,Lisbon Protocol,50,424
302,Russophobes,475,73
303,Crimean bridge,86,108
304,Zaporizhzhia,53,277
305,Soviet famine of 1946â1947,52,2822
306,John Mearsheimer,48,8808
307,Martial law in Ukraine,42,1248
316,Pereyaslav Council,65,1158
317,Luhansk Oblast,54,3921
318,Soviet partisans,45,7024
332,Moldova,89,142125
333,Soviet occupation of Bessarabia and Northern Bukovina,53,5740
334,All-Ukrainian Congress of Soviets,41,229
346,Foreign relations of Russia,470,9226
361,Sport in Russia,202,4537
362,Boris Nemtsov,106,6709
363,Battle of Konotop,62,454
364,Neo-Nazis,58,927
365,Anti-Semitism,43,8697
366,Antisemitism,43,99040
380,RussiaâEuropean Union relations,362,5572
381,Russian Jewish,169,2308
398,Pavlo Skoropadskyi,40,1678
408,Russian Orthodox Church,161,35336
409,Arseny Pavlov,43,466
410,Khmelnytsky Uprising,42,6162
424,Nord Stream,113,10400
425,The Ruin (Ukrainian history),50,808
426,Natural gas in Russia,49,1434
440,Eurasian Economic Union,144,25390
441,Russian Civil War,112,54158
442,Stalin,110,342848
443,Political abuse of psychiatry in the Soviet Union,101,6360
444,Crimean Tatars,72,14089
445,OSCE,47,16049
446,Yat,47,2878
464,Russification,277,6913
465,Belarus,120,176096
467,Kazakhstan,94,251134
468,Kirill of Moscow,76,5413
469,JÃ³zef PiÅsudski,73,19480
470,Nikolai Gogol,60,29463
471,Mejlis of the Crimean Tatar People,47,969
472,Eastern Partnership,41,4381
473,Druzhba pipeline,41,2797
474,Soviet invasion of Poland,40,43127
490,Alexei Navalny,178,17390
491,Byelorussian SSR,116,12707
492,Belarusian Soviet Socialist Republic,116,160
493,Donald Trump,55,5410531
494,Novorossiya,54,5779
495,Russian imperialism,50,4929
496,Old East Slavic language,47,5272
513,History of Russia,364,34857
514,Russian (language),236,370
515,Russian language,236,96982
516,Russian Airborne Troops,66,8705
534,Nikolay Kostomarov,56,359
535,Fancy Bear,55,12190
536,2014 Winter Paralympics,49,1139
537,Battle of Berlin,45,43447
563,Russian federation,390,524094
564,RussiaâUnited Kingdom relations,230,4958
565,Russian speakers,208,58
566,Federal Security Service,85,33922
567,Operation Bagration,61,21653
568,Sea of Azov,55,11387
569,Russo-Polish War (1654â1667),44,3095
570,Deportation of the Crimean Tatars,43,4300
591,RussiaâTurkey relations,114,3818
592,Aleksandr Solzhenitsyn,105,40511
593,Treaty of Brest-Litovsk,77,20943
594,Polish Jews,60,25343
